char,strokes,freq_rank,polyphonic,radical,semantic
人,2,50,false,人,生活物体
从,4,900,false,人,生活物体
众,6,1200,false,人,生活物体
你,7,160,false,亻,生活物体
他,5,140,false,亻,生活物体
们,5,180,false,亻,生活物体
住,7,500,false,亻,生活物体
休,6,650,false,亻,基本动作
口,3,130,false,口,生活物体
吃,6,260,false,口,基本动作
叫,5,320,false,口,基本动作
听,7,280,false,口,基本动作
手,4,210,false,手,生活物体
打,5,350,false,扌,基本动作
扫,6,900,false,扌,基本动作
拍,8,950,false,扌,基本动作
心,4,420,false,心,生活物体
日,4,60,false,日,自然现象
月,4,70,false,月,自然现象
山,3,400,false,山,自然现象
水,4,100,false,水,自然现象
江,6,850,false,氵,自然现象
河,8,800,false,氵,自然现象
雨,8,700,false,雨,自然现象
云,4,500,false,雨,自然现象
木,4,220,false,木,生活物体
本,5,260,false,木,生活物体
林,8,380,false,木,生活物体
火,4,240,false,火,自然现象
灯,6,780,false,火,生活物体
土,3,230,false,土,生活物体
地,6,150,false,土,生活物体
石,5,410,false,石,生活物体
田,5,450,false,田,生活物体
目,5,300,false,目,生活物体
耳,6,360,false,耳,生活物体
衣,6,500,false,衣,生活物体
言,7,280,false,言,生活物体
贝,4,600,false,贝,生活物体
金,8,520,false,金,生活物体
钉,8,1200,false,钅,生活物体
竹,6,680,false,竹,生活物体
米,6,340,false,米,生活物体
牛,4,330,false,牛,生活物体
犬,4,1200,false,犬,生活物体
狗,8,500,false,犭,生活物体
马,3,310,false,马,生活物体
鸟,5,480,false,鸟,生活物体
鱼,8,520,false,鱼,生活物体
车,7,290,false,车,生活物体
门,3,260,false,门,生活物体
闪,5,900,false,门,自然现象
走,7,350,false,走,基本动作
足,7,900,false,足,生活物体
力,2,300,false,力,生活物体
刀,2,370,false,刀,生活物体
